Complaint ID,Product,Issue,Company,State,ZIP code
3238275,Checking savings account,Managing account word1,NAVY FEDERAL CREDIT UNION,FL,328XX
3238228,Checking savings,Managing account word1 word2,BOEING EMPLOYEES CREDIT UNION,WA,98204
3237964,Debt collection,Communication tactics,CURO Intermediate Holdings,TX,751XX
3238479,Credit reporting credit repair services personal consumer reports,Incorrect information report,Ad Astra Recovery Services Inc,LA,708XX
3238460,Checking savings account,Managing account,ALLY FINANCIAL INC,AZ,85205
3237885,Mortgage,Closing mortgage,Statebridge Company,NJ,08302
3238221,Student loan,Struggling repay loan,Student Loan Direct,TX,773XX
3238545,Debt collection,Attempts collect debt owed,Diversified Consultants Inc,SC,296XX
3238458,Credit reporting credit repair services personal consumer reports,Incorrect information report,CONTRACT CALLERS INC,MD,20774
3238036,Vehicle loan lease,Struggling pay loan,ALLY FINANCIAL INC,NV,891XX
3237941,Debt collection,False statements representation,MiraMed Revenue Group LLC,VA,23156
3237971,Debt collection,False statements representation,Commonwealth Financial Systems Inc,TX,774XX
3237837,Credit reporting credit repair services personal consumer reports,Problem credit reporting companys investigation existing problem,ALLY FINANCIAL INC,TX,774XX
3237928,Debt collection,Took threatened take negative legal action,NAVY FEDERAL CREDIT UNION,FL,346XX
3238682,Debt collection,Communication tactics,MERCANTILE ADJUSTMENT BUREAU LLC,NY,14609
3237088,Debt collection,Attempts collect debt owed,HCFS Health Care Financial Services Inc,AZ,852XX
3237160,Checking savings account,Managing account,ALLY FINANCIAL INC,CO,81302
3236983,Debt collection,False statements representation,Diversified Consultants Inc,NJ,087XX
3237404,Debt collection,False statements representation,ALLY FINANCIAL INC,MI,48185
3236857,Debt collection,Written notification debt,Weltman Weinberg  Reis Co LPA,OH,432XX
